source_row_number,vendor,course_name,exam_code,exam_name,retake,base_cost,comments
106,CompTIA,PenTest+,PT0-002,CompTIA PenTest+,No incluido,258,
107,CompTIA,Linux+,XK0-005,CompTIA Linux+,No incluido,273,
108,CompTIA,A+ Core 1,220-1201,CompTIA A+ Core 1,No incluido,161,
109,ISC2,CISSP,N/A,Certified Information Systems Security Professional,No incluido,749,
110,ISACA,CISM,N/A,Certified Information Security Manager,No incluido,625,
111,ISACA,CRISC,N/A,Certified in Risk and Information Systems Control,No incluido,563,
112,ISACA,COBIT 2019 Foundation,N/A,COBIT 2019 Foundation,No incluido,175,
113,Scrum,Scrum Master,N/A,Scrum Master,No incluido,30,Renovación
114,CertiProf,SMPC,N/A,Scrum Master Professional Certificate,No incluido,50,
115,Google,Professional Cloud Architect,N/A,Google Cloud Certified Professional Cloud Architect,No incluido,120,
116,Google,Digital Leader,N/A,Google Cloud Digital Leader,No incluido,36,
117,Google,Professional Cloud DevOps Engineer,N/A,Google Cloud Certified Professional Cloud DevOps Engineer,No incluido,120,
118,Google,Machine Learning Engineer,N/A,Google Cloud Professional Machine Learning Engineer,No incluido,200,
119,VMware,vSphere Foundation 9,2V0-18.25,VMware vSphere Foundation 9 Support,No incluido,250,
120,VMware,VMware Cloud Professional,2V0-33.22,VMware Cloud Professional,No incluido,250,
121,Acquia,Drupal 10 Front End Specialist,N/A,Acquia Certified Drupal 10 Front End Specialist,No incluido,300,
122,CWNP,CWNA-109,CWNA-109,Certified Wireless Network Administrator,No incluido,274.99,
123,Confluent,CCAAK,N/A,Confluent Certified Administrator for Apache Kafka,No incluido,150,
124,ISTQB,CTFL,CTFL,Certified Tester Foundation Level 4.0,No incluido,215,
125,Palo Alto,Network Security Professional,PCNSP,Palo Alto Networks – Network Security Professional,No incluido,200,
126,Fortinet,NSE 4,NSE4,FortiOS / FortiGate Administrator,No incluido,200,
